MonthYear,GDP
1/8/2013,100.9894396
1/9/2013,101.0397068
1/10/2013,101.0491794
1/11/2013,101.0248085
1/12/2013,100.9637897
1/1/2014,100.846835
1/2/2014,100.6532949
1/3/2014,100.3801721
1/4/2014,100.0661543
1/5/2014,99.76605489
1/6/2014,99.52856125
1/7/2014,99.3735065
1/8/2014,99.30549375
1/9/2014,99.32131073
1/10/2014,99.41094121
1/11/2014,99.56041657
1/12/2014,99.7493157
1/1/2015,99.94391016
1/2/2015,100.1088174
1/3/2015,100.2183982
1/4/2015,100.270367
1/5/2015,100.2741334
1/6/2015,100.2431524
1/7/2015,100.1907358
1/8/2015,100.1288229
1/9/2015,100.0683615
1/10/2015,100.0204389
1/11/2015,99.99284087
1/12/2015,99.98578547
1/1/2016,99.98625026
1/2/2016,99.97755201
1/3/2016,99.94842819
1/4/2016,99.90281651
1/5/2016,99.85211577
1/6/2016,99.80871042
1/7/2016,99.77997083
1/8/2016,99.77043504
1/9/2016,99.78301831
1/10/2016,99.81892845
1/11/2016,99.87801027
1/12/2016,99.95750199
1/1/2017,100.0492106
1/2/2017,100.1445613
1/3/2017,100.2388823
1/4/2017,100.3355503
1/5/2017,100.4404751
1/6/2017,100.5565114
1/7/2017,100.6773671
1/8/2017,100.7920338
1/9/2017,100.8890168
1/10/2017,100.9611663
1/11/2017,101.0039168
1/12/2017,101.0154386
1/1/2018,100.9990333
1/2/2018,100.9588996
1/3/2018,100.898053
1/4/2018,100.8181108
1/5/2018,100.7220736
1/6/2018,100.6186146
1/7/2018,100.5276488
1/8/2018,100.4719498
1/9/2018,100.4680999
1/10/2018,100.5150708
1/11/2018,100.6025903
1/12/2018,100.7159185
1/1/2019,100.8378383
1/2/2019,100.9513429
1/3/2019,101.0418801
1/4/2019,101.1003645
1/5/2019,101.117698
1/6/2019,101.0817065
1/7/2019,100.9771786
1/8/2019,100.7919847
1/9/2019,100.5281478
1/10/2019,100.2184833
1/11/2019,99.90648858
1/12/2019,99.62981626
1/1/2020,99.40431844
1/2/2020,99.23281782
1/3/2020,99.11008727
1/4/2020,94.36991754
1/5/2020,92.02159354
1/6/2020,93.40151924
1/7/2020,94.79010819
1/8/2020,96.1828849
1/9/2020,96.97180547
1/10/2020,97.76059876
1/11/2020,98.54899054
